Date,Close,Date,Close,Date,Close
1/3/2023 16:00:00,125.07,1/3/2023 16:00:00,380.82,1/3/2023 16:00:00,264.48
1/4/2023 16:00:00,126.36,1/4/2023 16:00:00,383.76,1/4/2023 16:00:00,265.74
1/5/2023 16:00:00,125.02,1/5/2023 16:00:00,379.38,1/5/2023 16:00:00,261.58
1/6/2023 16:00:00,129.62,1/6/2023 16:00:00,388.08,1/6/2023 16:00:00,268.8
1/9/2023 16:00:00,130.15,1/9/2023 16:00:00,387.86,1/9/2023 16:00:00,270.54
1/10/2023 16:00:00,130.73,1/10/2023 16:00:00,390.58,1/10/2023 16:00:00,272.83
1/11/2023 16:00:00,133.49,1/11/2023 16:00:00,395.52,1/11/2023 16:00:00,277.55
1/12/2023 16:00:00,133.41,1/12/2023 16:00:00,396.96,1/12/2023 16:00:00,279.05
1/13/2023 16:00:00,134.76,1/13/2023 16:00:00,398.5,1/13/2023 16:00:00,280.97
1/17/2023 16:00:00,135.94,1/17/2023 16:00:00,397.77,1/17/2023 16:00:00,281.54
1/18/2023 16:00:00,135.21,1/18/2023 16:00:00,391.49,1/18/2023 16:00:00,277.88
1/19/2023 16:00:00,135.27,1/19/2023 16:00:00,388.64,1/19/2023 16:00:00,275.15
1/20/2023 16:00:00,137.87,1/20/2023 16:00:00,395.88,1/20/2023 16:00:00,282.68
1/23/2023 16:00:00,141.11,1/23/2023 16:00:00,400.63,1/23/2023 16:00:00,288.96
1/24/2023 16:00:00,142.53,1/24/2023 16:00:00,400.2,1/24/2023 16:00:00,288.37
1/25/2023 16:00:00,141.86,1/25/2023 16:00:00,400.35,1/25/2023 16:00:00,287.73
1/26/2023 16:00:00,143.96,1/26/2023 16:00:00,404.75,1/26/2023 16:00:00,293.34
1/27/2023 16:00:00,145.93,1/27/2023 16:00:00,405.68,1/27/2023 16:00:00,296.26
1/30/2023 16:00:00,143,1/30/2023 16:00:00,400.59,1/30/2023 16:00:00,290.27
1/31/2023 16:00:00,144.29,1/31/2023 16:00:00,406.48,1/31/2023 16:00:00,294.62
2/1/2023 16:00:00,145.43,2/1/2023 16:00:00,410.8,2/1/2023 16:00:00,300.92
2/2/2023 16:00:00,150.82,2/2/2023 16:00:00,416.78,2/2/2023 16:00:00,311.72
2/3/2023 16:00:00,154.5,2/3/2023 16:00:00,412.35,2/3/2023 16:00:00,306.18
2/6/2023 16:00:00,151.73,2/6/2023 16:00:00,409.83,2/6/2023 16:00:00,303.59
2/7/2023 16:00:00,154.65,2/7/2023 16:00:00,415.19,2/7/2023 16:00:00,309.88
2/8/2023 16:00:00,151.92,2/8/2023 16:00:00,410.65,2/8/2023 16:00:00,304.37
2/9/2023 16:00:00,150.87,2/9/2023 16:00:00,407.09,2/9/2023 16:00:00,301.68
2/10/2023 16:00:00,151.01,2/10/2023 16:00:00,408.04,2/10/2023 16:00:00,299.7
2/13/2023 16:00:00,153.85,2/13/2023 16:00:00,412.83,2/13/2023 16:00:00,304.5
2/14/2023 16:00:00,153.2,2/14/2023 16:00:00,412.64,2/14/2023 16:00:00,306.75
2/15/2023 16:00:00,155.33,2/15/2023 16:00:00,413.98,2/15/2023 16:00:00,309.1
2/16/2023 16:00:00,153.71,2/16/2023 16:00:00,408.28,2/16/2023 16:00:00,303.3
2/17/2023 16:00:00,152.55,2/17/2023 16:00:00,407.26,2/17/2023 16:00:00,301.16
2/21/2023 16:00:00,148.48,2/21/2023 16:00:00,399.09,2/21/2023 16:00:00,294.03
2/22/2023 16:00:00,148.91,2/22/2023 16:00:00,398.54,2/22/2023 16:00:00,294.25
2/23/2023 16:00:00,149.4,2/23/2023 16:00:00,400.66,2/23/2023 16:00:00,296.82
2/24/2023 16:00:00,146.71,2/24/2023 16:00:00,396.38,2/24/2023 16:00:00,291.85
2/27/2023 16:00:00,147.92,2/27/2023 16:00:00,397.73,2/27/2023 16:00:00,293.94
2/28/2023 16:00:00,147.41,2/28/2023 16:00:00,396.26,2/28/2023 16:00:00,293.56
3/1/2023 16:00:00,145.31,3/1/2023 16:00:00,394.74,3/1/2023 16:00:00,291.2
3/2/2023 16:00:00,145.91,3/2/2023 16:00:00,397.81,3/2/2023 16:00:00,293.61
3/3/2023 16:00:00,151.03,3/3/2023 16:00:00,404.19,3/3/2023 16:00:00,299.68
3/6/2023 16:00:00,153.83,3/6/2023 16:00:00,404.47,3/6/2023 16:00:00,300.02
3/7/2023 16:00:00,151.6,3/7/2023 16:00:00,398.27,3/7/2023 16:00:00,296.34
3/8/2023 16:00:00,152.87,3/8/2023 16:00:00,398.92,3/8/2023 16:00:00,297.82
3/9/2023 16:00:00,150.59,3/9/2023 16:00:00,391.56,3/9/2023 16:00:00,292.66
3/10/2023 16:00:00,148.5,3/10/2023 16:00:00,385.91,3/10/2023 16:00:00,288.55
3/13/2023 16:00:00,150.47,3/13/2023 16:00:00,385.36,3/13/2023 16:00:00,290.69
3/14/2023 16:00:00,152.59,3/14/2023 16:00:00,391.73,3/14/2023 16:00:00,297.37
3/15/2023 16:00:00,152.99,3/15/2023 16:00:00,389.28,3/15/2023 16:00:00,298.93
3/16/2023 16:00:00,155.85,3/16/2023 16:00:00,396.11,3/16/2023 16:00:00,306.81
3/17/2023 16:00:00,155,3/17/2023 16:00:00,389.99,3/17/2023 16:00:00,305.36
3/20/2023 16:00:00,157.4,3/20/2023 16:00:00,393.74,3/20/2023 16:00:00,305.97
3/21/2023 16:00:00,159.28,3/21/2023 16:00:00,398.91,3/21/2023 16:00:00,310.34
3/22/2023 16:00:00,157.83,3/22/2023 16:00:00,392.11,3/22/2023 16:00:00,306.12
3/23/2023 16:00:00,158.93,3/23/2023 16:00:00,393.17,3/23/2023 16:00:00,309.75
3/24/2023 16:00:00,160.25,3/24/2023 16:00:00,395.75,3/24/2023 16:00:00,310.89
3/27/2023 16:00:00,158.28,3/27/2023 16:00:00,396.49,3/27/2023 16:00:00,308.76
3/28/2023 16:00:00,157.65,3/28/2023 16:00:00,395.6,3/28/2023 16:00:00,307.12
3/29/2023 16:00:00,160.77,3/29/2023 16:00:00,401.35,3/29/2023 16:00:00,312.72
3/30/2023 16:00:00,162.36,3/30/2023 16:00:00,403.7,3/30/2023 16:00:00,315.68
3/31/2023 16:00:00,164.9,3/31/2023 16:00:00,409.39,3/31/2023 16:00:00,320.93
4/3/2023 16:00:00,166.17,4/3/2023 16:00:00,410.95,4/3/2023 16:00:00,320.15
4/4/2023 16:00:00,165.63,4/4/2023 16:00:00,408.67,4/4/2023 16:00:00,319.07
4/5/2023 16:00:00,163.76,4/5/2023 16:00:00,407.6,4/5/2023 16:00:00,315.92
4/6/2023 16:00:00,164.66,4/6/2023 16:00:00,409.19,4/6/2023 16:00:00,318.05
4/10/2023 16:00:00,162.03,4/10/2023 16:00:00,409.61,4/10/2023 16:00:00,317.87
4/11/2023 16:00:00,160.8,4/11/2023 16:00:00,409.72,4/11/2023 16:00:00,315.83
4/12/2023 16:00:00,160.1,4/12/2023 16:00:00,408.05,4/12/2023 16:00:00,313.04
4/13/2023 16:00:00,165.56,4/13/2023 16:00:00,413.47,4/13/2023 16:00:00,319.17
4/14/2023 16:00:00,165.21,4/14/2023 16:00:00,412.46,4/14/2023 16:00:00,318.57
4/17/2023 16:00:00,165.23,4/17/2023 16:00:00,413.94,4/17/2023 16:00:00,318.84
4/18/2023 16:00:00,166.47,4/18/2023 16:00:00,414.21,4/18/2023 16:00:00,318.86
4/19/2023 16:00:00,167.63,4/19/2023 16:00:00,414.14,4/19/2023 16:00:00,318.71
4/20/2023 16:00:00,166.65,4/20/2023 16:00:00,411.88,4/20/2023 16:00:00,316.28
4/21/2023 16:00:00,165.02,4/21/2023 16:00:00,412.2,4/21/2023 16:00:00,316.61
4/24/2023 16:00:00,165.33,4/24/2023 16:00:00,412.63,4/24/2023 16:00:00,315.95
4/25/2023 16:00:00,163.77,4/25/2023 16:00:00,406.08,4/25/2023 16:00:00,309.99
4/26/2023 16:00:00,163.76,4/26/2023 16:00:00,404.36,4/26/2023 16:00:00,311.87
